certificate_holder,mark_number,quality_logo,Descriptions,certificate_scope,certificate_data,certificate_holder_address,Final_url
American Standard B&K Mexico S de RL de CV Planta Monterrey,9108643408,https://www.certipedia.com/logos/000/251/342/9108643408_en.png?1527712156,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Manufacturing of Bathtubs, Whirlpools, Shower Floors and Walls, Design and Manufacture of Flushometers Valves and Fixture Fittings for Bath and Kitchen.",Certificates for management system according to ISO 9001,American Standard B&K Mexico S de RLde CV Planta MonterreyCarretera México Laredo Km 101165550 Ciénega de FloresMexico,https://www.certipedia.com/quality_marks/9108643408?locale=en&certificate_number=01+100+1428079
American Standard B&K Mexico S de RL de CV Planta Monterrey,9108643408,https://www.certipedia.com/logos/000/251/342/9108643408_en.png?1527712156,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Manufacturing of Bathtubs, Whirlpools, Shower Floors and Walls, Design and Manufacture of Flushometers Valves and Fixture Fittings for Bath and Kitchen.",Certificates for management system according to ISO 9001,American Standard B&K Mexico S de RLde CV Planta MonterreyCarretera México Laredo Km 101165550 Ciénega de FloresMexico,https://www.certipedia.com/quality_marks/9108643408?locale=en&certificate_number=74+300+3646
American Standard B&K México S de RL de CV (Planta Santa Clara),9108658437,https://www.certipedia.com/logos/000/267/574/9108658437_en.png?1579557300,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 14001:
        Ceramic Plumbing Fixtures Manufacturing.
      
      
        ISO 9001:
        Ceramic Plumbing Fixtures Manufacturing.","Certificate for management system according to ISO 14001
Certificates for management system according to ISO 9001","American Standard B&K MéxicoS de RL de CV (Planta Santa Clara)Vía Morelos N° 330. Col. Santa Clara Coatitla55540 Ecatepec, Estado de MéxicoMexico",https://www.certipedia.com/quality_marks/9108658437?locale=en&certificate_number=74+300+4526
American Standard B&K México S de RL de CV (Planta Santa Clara),9108658437,https://www.certipedia.com/logos/000/267/574/9108658437_en.png?1579557300,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 14001:
        Ceramic Plumbing Fixtures Manufacturing.
      
      
        ISO 9001:
        Ceramic Plumbing Fixtures Manufacturing.","Certificate for management system according to ISO 14001
Certificates for management system according to ISO 9001","American Standard B&K MéxicoS de RL de CV (Planta Santa Clara)Vía Morelos N° 330. Col. Santa Clara Coatitla55540 Ecatepec, Estado de MéxicoMexico",https://www.certipedia.com/quality_marks/9108658437?locale=en&certificate_number=01+100+1428080
American Standard B&K Mexico S. de R.L. de C.V. (Planta Tlaxcala),9108658435,https://www.certipedia.com/logos/000/251/338/9108658435_en.png?1579556654,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 14001:
        Ceramic Plumbing Fixtures Manufacturing.
      
      
        ISO 9001:
        Ceramic Plumbing Fixtures Manufacturing.","Certificate for management system according to ISO 14001
Certificates for management system according to ISO 9001",American Standard B&K MexicoS. de R.L. de C.V.(Planta Tlaxcala)Carr Vía Corta Santa Ana-Puebla Km 22.590830 La Magdalena Tlaltelulco ChiautempanMexico,https://www.certipedia.com/quality_marks/9108658435?locale=en&certificate_number=74+300+4527
American Standard B&K Mexico S. de R.L. de C.V. (Planta Tlaxcala),9108658435,https://www.certipedia.com/logos/000/251/338/9108658435_en.png?1579556654,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 14001:
        Ceramic Plumbing Fixtures Manufacturing.
      
      
        ISO 9001:
        Ceramic Plumbing Fixtures Manufacturing.","Certificate for management system according to ISO 14001
Certificates for management system according to ISO 9001",American Standard B&K MexicoS. de R.L. de C.V.(Planta Tlaxcala)Carr Vía Corta Santa Ana-Puebla Km 22.590830 La Magdalena Tlaltelulco ChiautempanMexico,https://www.certipedia.com/quality_marks/9108658435?locale=en&certificate_number=01+100+1428081
American Standard B&K Mexico S de RL de CV Planta Monterrey,9108643408,https://www.certipedia.com/logos/000/251/342/9108643408_en.png?1527712156,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Manufacturing of Bathtubs, Whirlpools, Shower Floors and Walls, Design and Manufacture of Flushometers Valves and Fixture Fittings for Bath and Kitchen.",Certificates for management system according to ISO 9001,American Standard B&K Mexico S de RLde CV Planta MonterreyCarretera México Laredo Km 101165550 Ciénega de FloresMexico,https://www.certipedia.com/quality_marks/9108643408?locale=en&certificate_number=01+100+1428079%2F01
"American Science & Engineering, Inc.",9108644329,https://www.certipedia.com,,"ISO 14001:
        The Design, Manufacture, Sales, and Service of Cargo and Security Screening Systems.
      
      
        ISO 9001:
        The Design, Manufacture, Sales, and Service of Cargo and Security Screening Systems.","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001","American Science & Engineering, Inc.Middlesex Turnpike 82901821 BillericaUnited States",https://www.certipedia.com/quality_marks/9108644329?locale=en&certificate_number=74+300+4313
"American Science & Engineering, Inc.",9108644329,https://www.certipedia.com,,"ISO 14001:
        The Design, Manufacture, Sales, and Service of Cargo and Security Screening Systems.
      
      
        ISO 9001:
        The Design, Manufacture, Sales, and Service of Cargo and Security Screening Systems.","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001","American Science & Engineering, Inc.Middlesex Turnpike 82901821 BillericaUnited States",https://www.certipedia.com/quality_marks/9108644329?locale=en&certificate_number=74+300+4314
American Medical Center,9108616061,https://www.certipedia.com/logos/000/127/492/9108616061_en.png?1383836194,,"ISO 9001:
        PATIENT ADMISSION, DIAGNOSTIC, TREATMENT, DISCHARGE FOR THE DEPARTMENTS OF
• Cardiothoracic Surgery
• Interventional and non-interventional Cardiology
• Interventional and non-interventional Radiology
• Primary Care and Preventive Medicine

AND SERVICES FOR JOINING PHYSICIANS",,"American Medical CenterSpyros Kyprianou Ave 2152047 Strovolos,NicosiaCyprus",https://www.certipedia.com/quality_marks/9108616061?locale=en&certificate_number=01+100+040891
"AMBIGROUP Resíduos, S.A.",9105063632,https://www.certipedia.com/logos/000/043/615/9105063632_en.png?1614766283,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015
              ISO 45001:2018","ISO 45001:
        Gestão global de resíduos, incluindo a recolha, armazenamento, tratamento, valorização e encaminhamento de resíduos para destino final e armazenamento temporário de equipamentos.
      
      
        ISO 9001:
        Global waste management, including the collection, storage, treatment, recovery and shipment of waste to final destination and temporary storage of equipment.","Certificate for management system according to ISO 45001
Certificates for management system according to ISO 9001","AMBIGROUP Resíduos, S.A.Edif. Ambigroup - R. Quinta das Lamas1679-013 Pontinha - OdivelasPortugal",https://www.certipedia.com/quality_marks/9105063632?locale=en&certificate_number=2+03+08208
"American Cord & Webbing Co., Inc.",9108653234,https://www.certipedia.com,,"ISO 9001:
        The Manufacture and Distribution of plastic and metal fasteners, narrow
textile webbing, non-elastic cords and custom strap assemblies",,"American Cord & Webbing Co., Inc.Century Drive #1 8802895 WoonsocketUnited States",https://www.certipedia.com/quality_marks/9108653234?locale=en&certificate_number=74+300+4166
"American Cooling Systems, LLC.",9108656528,https://www.certipedia.com,,"ISO 14001:
        The Design and Manufacture of Polymer Cooling Fans for Industrial, Construction, Agricultural, Highway and Off-Highway Applications.
      
      
        ISO 9001:
        The Design and Manufacture of Polymer Cooling Fans for Industrial, Construction, Agricultural, Highway and Off-Highway Applications.","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001","American Cooling Systems, LLC.Wilson Drive NW 309949534-7565 Grand RapidsUnited States",https://www.certipedia.com/quality_marks/9108656528?locale=en&certificate_number=74+300+4571
A1! ProDiTec GmbH,9105055867,https://www.certipedia.com/logos/000/034/732/9105055867_small.png,,"KBA Herstellerbericht:
        Design and marketing of exhaust emission control systems",,A1! ProDiTec GmbHLanzstraße 2568789 St. Leon-RotGermany,https://www.certipedia.com/quality_marks/9105055867?locale=en&certificate_number=49+02+0250908%2F1
"American Cooling Systems, LLC.",9108656528,https://www.certipedia.com,,"ISO 14001:
        The Design and Manufacture of Polymer Cooling Fans for Industrial, Construction, Agricultural, Highway and Off-Highway Applications.
      
      
        ISO 9001:
        The Design and Manufacture of Polymer Cooling Fans for Industrial, Construction, Agricultural, Highway and Off-Highway Applications.","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001","American Cooling Systems, LLC.Wilson Drive NW 309949534-7565 Grand RapidsUnited States",https://www.certipedia.com/quality_marks/9108656528?locale=en&certificate_number=74+300+4570
a1 Autoglas Hagen UG (haftungsbeschränkt),9000005912,https://www.certipedia.com,,"junited:
        - Verglasen von Personenkraftwagen und Lastkraftwagen
- Steinschlagreparatur",,a1 Autoglas Hagen UG(haftungsbeschränkt)Schwerter Str. 16258099 HagenGermany,https://www.certipedia.com/quality_marks/9000005912?locale=en&certificate_number=01+358+1900313
A1!ProDiTec GmbH,9105086855,https://www.certipedia.com,,"KBA Herstellerbericht:
        Hersteller von Abgasreinigungsanlagen, Abgasregelungsanlagen und Bremsschläuchen",,A1!ProDiTec GmbHLanzstraße 2568789 St. Leon-RotGermany,https://www.certipedia.com/quality_marks/9105086855?locale=en&certificate_number=49+02+0141606
a1 Autoglas GmbH Ursula Glowsky,9000004050,https://www.certipedia.com,,"junited:
        - Verglasen von Personenkraftwagen und Lastkraftwagen
- Steinschlagreparatur",,a1 Autoglas GmbHUrsula GlowskyHagener Str. 15444225 DortmundGermany,https://www.certipedia.com/quality_marks/9000004050?locale=en&certificate_number=01+358+1900400
A.W. Schumacher GmbH,9105036839,https://www.certipedia.com,,"ISO 9001:
        Production and distribution of high quality casting.
      
      
        MM+AD2000W0:
        Foundry for aluminum alloys and copper alloys","Certificate for management system according to ISO 9001
Certificate for management system according to MM+AD2000W0",A.W. Schumacher GmbHHeilenbecker Str. 22358256 EnnepetalGermany,https://www.certipedia.com/quality_marks/9105036839?locale=en&certificate_number=01+100+065136
"A.U.T. Co., Ltd. 95/20 Soi Lardprao 41, Lardprao Road,",1100018954,https://www.certipedia.com/logos/000/009/124/1100018954_en.png?1478590032,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Sales, Design and Manufacturing of Polyurethane Elastomer Products",Certificates for management system according to ISO 9001,"A.U.T. Co., Ltd.95/20 Soi Lardprao 41,Lardprao Road,Jantrakasem,Jatujak,10900 BangkokThailand",https://www.certipedia.com/quality_marks/1100018954?locale=en&certificate_number=01+100+018954%2F02
A.W. Schumacher GmbH,9105036839,https://www.certipedia.com,,"ISO 9001:
        Production and distribution of high quality casting.
      
      
        MM+AD2000W0:
        Foundry for aluminum alloys and copper alloys","Certificate for management system according to ISO 9001
Certificate for management system according to MM+AD2000W0",A.W. Schumacher GmbHHeilenbecker Str. 22358256 EnnepetalGermany,https://www.certipedia.com/quality_marks/9105036839?locale=en&certificate_number=01+202+317%2FQ-07+0026
"A.U.T. Co., Ltd. 95/20 Soi Lardprao 41, Lardprao Road,",1100018954,https://www.certipedia.com/logos/000/009/124/1100018954_en.png?1478590032,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Sales, Design and Manufacturing of Polyurethane Elastomer Products",Certificates for management system according to ISO 9001,"A.U.T. Co., Ltd.95/20 Soi Lardprao 41,Lardprao Road,Jantrakasem,Jatujak,10900 BangkokThailand",https://www.certipedia.com/quality_marks/1100018954?locale=en&certificate_number=01+100+018954
"A.U.T. Co., Ltd. 95/20 Soi Lardprao 41, Lardprao Road,",1100018954,https://www.certipedia.com/logos/000/009/124/1100018954_en.png?1478590032,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Sales, Design and Manufacturing of Polyurethane Elastomer Products",Certificates for management system according to ISO 9001,"A.U.T. Co., Ltd.95/20 Soi Lardprao 41,Lardprao Road,Jantrakasem,Jatujak,10900 BangkokThailand",https://www.certipedia.com/quality_marks/1100018954?locale=en&certificate_number=01+100+018954%2F01
